City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Albany,90,US,1552525685,51,42.65,-73.75,42.01,3.36
Mataura,20,NZ,1552525207,65,-46.19,168.86,59.0,1.99
Ancud,20,CL,1552521600,76,-41.87,-73.83,53.6,8.05
Maragogi,68,BR,1552526261,100,-9.01,-35.22,76.79,2.73
Jamestown,0,AU,1552525545,94,-33.21,138.6,62.16,4.41
Tasiilaq,90,GL,1552521000,92,65.61,-37.64,23.0,3.36
Butaritari,88,KI,1552525843,100,3.07,172.79,80.21,8.99
Gedo,24,ET,1552526261,94,9.01,37.45,54.74,3.18
Lavrentiya,64,RU,1552526261,100,65.58,-170.99,16.04,32.59
Sarangani,100,PH,1552526045,100,5.4,125.46,79.17,7.99
Kaura Namoda,0,NG,1552526261,54,12.59,6.58,72.11,3.51
Normandin,90,CA,1552524240,74,48.84,-72.53,35.6,12.75
Sisimiut,20,GL,1552526015,39,66.94,-53.67,-13.26,1.61
Port Alfred,64,ZA,1552525636,93,-33.59,26.89,64.0,7.87
Mar del Plata,0,AR,1552525424,90,-46.43,-67.52,57.21,4.41
Rikitea,100,PF,1552525407,100,-23.12,-134.97,74.72,21.52
Upernavik,32,GL,1552525837,100,72.79,-56.15,-3.54,2.39
Mana,0,RS,1552523400,80,43.52,20.24,39.2,5.82
Quatre Cocos,20,MU,1552526045,83,-20.21,57.76,73.4,5.82
Ola,24,RU,1552526262,100,59.58,151.3,12.17,4.41
Dikson,80,RU,1552525444,91,73.51,80.55,12.12,25.1
Kodinsk,92,RU,1552526024,91,58.6,99.18,33.59,8.99
Vaini,0,IN,1552521600,49,15.34,74.49,69.8,2.06
Kapaa,1,US,1552525696,57,22.08,-159.32,80.6,13.87
Llangefni,92,GB,1552526157,93,53.26,-4.31,46.99,23.04
Loanda,20,BR,1552526262,97,-22.93,-53.14,71.97,2.62
Gaya,75,IN,1552521600,82,24.8,85.01,68.0,4.7
Ushuaia,0,AR,1552521600,53,-54.81,-68.31,51.8,3.36
Busselton,0,AU,1552525506,47,-33.64,115.35,69.01,14.14
Yellowknife,75,CA,1552525697,61,62.45,-114.38,12.2,6.93
Kandrian,48,PG,1552526262,85,-6.21,149.55,82.19,3.51
Barrow,0,AR,1552525408,76,-38.31,-60.23,58.07,9.44
Oistins,75,BB,1552521600,78,13.07,-59.53,78.8,12.75
Kahului,40,US,1552526203,61,20.89,-156.47,82.0,21.92
Aktau,68,KZ,1552523400,100,43.65,51.16,42.8,11.18
Hilo,90,US,1552525701,73,19.71,-155.08,75.2,5.82
Kijang,0,KR,1552521600,30,35.24,129.21,41.0,5.82
Longyearbyen,20,NO,1552524600,70,78.22,15.63,-0.41,3.36
Saint Anthony,90,US,1552525847,59,43.97,-111.68,35.6,4.7
Baykit,88,RU,1552525907,92,61.68,96.39,28.32,8.32
Sao Joao da Barra,12,BR,1552526040,94,-21.64,-41.05,83.94,23.76
Manicore,20,BR,1552526018,89,-5.81,-61.3,79.71,1.95
New Norfolk,0,AU,1552525816,39,-42.78,147.06,66.0,10.29
Lasa,75,CY,1552526151,81,34.92,32.53,53.6,5.82
Entre Rios,100,BR,1552526123,88,-11.94,-38.08,81.6,8.21
Praia da Vitoria,75,PT,1552526187,62,38.73,-27.07,57.99,12.57
Castro,20,CL,1552521600,76,-42.48,-73.76,53.6,8.05
Airai,68,TL,1552526324,86,-8.93,125.41,73.46,0.83
Hithadhoo,88,MV,1552525770,100,-0.6,73.08,82.37,9.78
Sanary-sur-Mer,0,FR,1552526313,40,43.12,5.8,53.01,12.75
Bredasdorp,92,ZA,1552525329,88,-34.53,20.04,64.4,2.24
Talnakh,80,RU,1552526041,81,69.49,88.39,18.56,18.28
Caravelas,0,BR,1552526070,99,-17.73,-39.27,84.3,16.49
Brigantine,20,US,1552526323,56,39.41,-74.36,43.0,5.82
Tuktoyaktuk,75,CA,1552521600,75,69.44,-133.03,-16.61,6.93
Gobabis,0,NA,1552526325,70,-22.45,18.97,66.26,5.86
Pevek,8,RU,1552526325,100,69.7,170.27,-20.64,2.95
Santiago de Cuba,40,CU,1552521060,51,20.03,-75.83,80.6,12.75
Callaguip,20,PH,1552521600,74,18.07,120.49,78.8,4.7
Durres,0,AL,1552524600,100,41.32,19.44,37.4,4.7
Bahir Dar,76,ET,1552526325,46,11.59,37.39,62.34,1.95
Tual,92,ID,1552526058,100,-5.67,132.75,77.37,19.39
Pahrump,1,US,1552525900,16,36.21,-115.98,54.0,11.41
Mutuipe,8,BR,1552526326,84,-13.23,-39.5,74.09,7.76
Saint-Philippe,90,CA,1552526287,100,45.36,-73.48,32.0,3.18
Noumea,92,NC,1552523400,88,-22.28,166.46,78.8,5.82
Puerto Ayora,0,EC,1552525284,78,-0.74,-90.35,78.8,9.17
Kaohsiung,75,TW,1552526102,64,22.62,120.31,75.2,5.82
Punta Arenas,40,CL,1552525992,87,-53.16,-70.91,46.4,5.82
Izumo,40,JP,1552521600,95,35.37,132.75,42.8,6.93
Aksha,48,RU,1552526326,70,50.28,113.29,19.05,7.54
Whitehorse,90,CA,1552526147,51,60.72,-135.06,35.6,11.41
Saskylakh,32,RU,1552525973,29,71.97,114.09,-20.6,3.18
Chokurdakh,0,RU,1552526077,49,70.62,147.9,-16.95,2.95
Tiksi,56,RU,1552526113,76,71.64,128.87,-3.95,3.96
Yakeshi,48,CN,1552526327,75,49.28,120.73,15.0,5.3
Bambous Virieux,20,MU,1552525745,83,-20.34,57.76,73.4,5.82
Tyrma,32,RU,1552526208,87,50.04,132.17,24.14,3.62
Chicama,75,PE,1552521600,69,-7.84,-79.15,78.8,6.93
Erenhot,12,CN,1552526327,75,43.65,111.97,17.12,3.62
Hambantota,20,LK,1552522200,100,6.12,81.12,75.2,3.36
Hobart,0,AU,1552526055,39,-42.88,147.33,66.0,10.29
Cape Town,20,ZA,1552525564,88,-33.93,18.42,66.99,16.11
Qaanaaq,56,GL,1552525972,100,77.48,-69.36,-4.22,9.44
Sens,0,FR,1552526237,81,48.2,3.28,43.0,17.22
Luderitz,8,NA,1552526388,91,-26.65,15.16,58.07,12.8
Santa Lucia,12,IT,1552525793,45,39.93,9.66,50.0,8.01
Tuatapere,92,NZ,1552525804,60,-46.13,167.69,59.0,3.0
Mount Gambier,8,AU,1552521600,51,-37.83,140.78,62.6,8.05
Tupelo,90,US,1552526188,64,34.26,-88.7,70.0,23.04
Broome,48,GB,1552526335,75,52.47,1.45,46.0,17.22
Huarmey,12,PE,1552526389,68,-10.07,-78.15,73.32,3.51
Hermanus,20,ZA,1552525329,95,-34.42,19.24,64.0,3.06
Bouar,44,CF,1552526389,55,5.94,15.59,76.38,2.73
Port Elizabeth,1,US,1552525971,48,39.31,-74.98,45.0,5.82
Norman Wells,40,CA,1552521600,60,65.28,-126.83,8.6,9.17
Alakurtti,44,RU,1552525770,92,66.96,30.34,5.0,5.01
Banda Aceh,12,ID,1552526348,100,5.56,95.32,72.78,2.17
Westport,92,IE,1552526324,93,53.8,-9.52,48.99,15.99
Namibe,0,AO,1552526133,100,-15.19,12.15,76.74,8.43
Arraial do Cabo,0,BR,1552521600,74,-22.97,-42.02,78.8,2.24
Sept-Iles,90,CA,1552526299,79,50.2,-66.38,27.0,4.7
Provideniya,92,RU,1552525973,100,64.42,-173.23,15.45,21.97
Ribeira Grande,0,PT,1552525973,97,38.52,-28.7,60.41,16.26
Bluff,0,AU,1552526390,52,-23.58,149.07,87.41,4.63
Marawi,44,PH,1552525215,72,8.0,124.29,80.01,3.0
Cabo San Lucas,40,MX,1552525813,52,22.89,-109.91,70.0,16.11
Bethel,40,US,1552524780,64,60.79,-161.76,39.2,10.29
Kodiak,90,US,1552526364,71,39.95,-94.76,60.01,16.11
Azare,8,NG,1552526391,35,11.67,10.19,72.15,6.42
Nouadhibou,0,MR,1552521600,72,20.93,-17.03,66.2,17.22
Lebu,40,ET,1552525200,62,8.96,38.73,59.0,4.7
Margate,0,AU,1552526229,39,-43.03,147.26,66.0,10.29
Antsohihy,24,MG,1552526392,95,-14.88,47.99,71.34,2.62
Ciudad Bolivar,76,VE,1552526392,43,8.12,-63.55,89.21,13.69
Oranjemund,92,ZA,1552526392,95,-28.55,16.43,62.39,14.14
Bogorodskoye,76,RU,1552525839,76,52.37,140.44,23.96,4.52
Pisco,40,PE,1552521600,83,-13.71,-76.2,73.4,23.04
Port-Gentil,76,GA,1552526098,99,-0.72,8.78,82.19,10.22
Atar,0,MR,1552526393,16,20.52,-13.05,68.96,10.0
Jizan,0,SA,1552521600,74,16.89,42.56,82.4,3.36
Tautira,75,PF,1552525987,70,-17.73,-149.15,84.2,9.17
Macau,32,BR,1552526393,71,-5.11,-36.64,82.23,7.2
Poronaysk,88,RU,1552526393,88,49.22,143.1,25.17,7.43
Shabqadar,68,PK,1552526393,91,34.21,71.56,40.92,2.39
Skjervoy,76,NO,1552526393,100,70.03,20.97,23.55,11.79
Ixtapa,5,MX,1552526127,69,20.71,-105.21,77.0,13.87
Cairns,40,AU,1552524821,62,-16.92,145.77,87.8,13.87
Saint-Louis,75,CH,1552526387,81,47.59,7.56,44.01,16.11
Kolokani,0,ML,1552526394,23,13.58,-8.03,67.07,9.78
Siddapur,0,IN,1552526394,94,13.66,74.91,66.21,2.62
Los Llanos de Aridane,0,ES,1552525801,77,28.66,-17.92,64.4,10.29
Hasaki,20,JP,1552525477,34,35.73,140.83,52.0,14.99
Tanout,0,NE,1552526454,21,14.97,8.88,76.07,11.79
Maloy,36,ID,1552526454,92,1.0,118.1,75.17,1.83
Ahipara,0,NZ,1552521104,70,-35.17,173.16,88.0,1.72
Bonthe,0,SL,1552526455,89,7.53,-12.5,80.66,4.41
Healdsburg,1,US,1552526453,36,38.61,-122.87,63.0,9.17
Vao,88,EE,1552525974,94,59.1,26.19,32.55,10.78
Takoradi,36,GH,1552526455,99,4.89,-1.75,82.5,8.77
Alabaster,90,US,1552526345,52,33.24,-86.82,71.6,8.05
Yulara,36,AU,1552521600,18,-25.24,130.99,89.6,16.11
Mtwara,92,TZ,1552526455,100,-10.28,40.18,81.78,8.55
Nikolskoye,0,RU,1552526435,85,59.7,30.79,24.01,6.71
Laguna,5,MX,1552520400,43,27.52,-110.01,71.6,5.82
Agadez,0,NE,1552526383,17,16.97,7.99,76.02,12.57
Vardo,90,US,1552525968,29,39.62,-77.74,57.2,8.05
Khatanga,0,RU,1552525905,30,71.98,102.47,-21.18,5.97
Tateyama,75,JP,1552526404,96,36.66,137.31,44.01,4.7
Carnarvon,88,ZA,1552525909,29,-30.97,22.13,55.64,2.95
Sungaipenuh,76,ID,1552526221,94,-2.08,101.38,67.02,0.83
Dingle,0,PH,1552526456,70,11.0,122.67,78.0,12.12
Orange Cove,1,US,1552526452,38,36.62,-119.31,61.0,6.93
Clyde River,1,CA,1552521600,75,70.47,-68.59,-20.21,2.24
East London,92,ZA,1552525907,100,-33.02,27.91,71.43,12.91
Logansport,1,US,1552526442,66,40.75,-86.36,61.0,11.41
Severobaykalsk,0,RU,1552526456,70,55.65,109.32,4.2,2.39
Hovd,75,NO,1552526418,92,63.83,10.7,35.01,8.05
Frederikshavn,80,DK,1552526457,98,57.44,10.53,40.74,15.37
Halifax,20,CA,1552526413,79,44.65,-63.58,30.2,2.24
Nioro,0,GM,1552526457,23,13.79,-15.05,76.29,11.79
Kavieng,68,PG,1552526457,100,-2.57,150.8,81.24,8.21
Tilichiki,24,RU,1552526457,81,60.47,166.1,-5.39,4.18
Buraydah,40,SA,1552521600,37,26.33,43.97,69.8,13.87
Belaya Gora,44,RU,1552526458,67,68.54,146.19,-9.21,3.29
Martil,0,MA,1552525200,76,35.62,-5.28,59.0,11.41
Qaqortoq,20,GL,1552524600,73,60.72,-46.03,26.6,8.05
Bubaque,0,GW,1552526458,96,11.28,-15.83,78.45,6.2
Sinnamary,92,GF,1552525974,93,5.38,-52.96,79.67,10.67
Bandarbeyla,92,SO,1552525909,100,9.49,50.81,78.09,9.78
Vila Franca do Campo,75,PT,1552526430,71,37.72,-25.43,57.2,13.87
Nanortalik,12,GL,1552526459,100,60.14,-45.24,25.89,27.89
Atuona,44,PF,1552526459,100,-9.8,-139.03,82.77,12.46
Cadillac,90,US,1552526428,93,44.25,-85.4,39.99,9.17
Birao,20,CF,1552526459,29,10.3,22.78,74.36,8.66
Phalombe,64,MW,1552526459,87,-15.81,35.65,67.07,5.41
Jinchang,20,CN,1552526519,60,38.52,102.19,11.81,4.29
Faanui,36,PF,1552526520,100,-16.48,-151.75,83.67,14.7
Cherskiy,0,RU,1552526520,41,68.75,161.3,-13.17,2.51
Sompeta,24,IN,1552526520,90,18.93,84.6,71.07,2.95
Pottstown,90,US,1552526411,45,40.25,-75.65,46.99,4.85
Zhigansk,56,RU,1552526520,80,66.77,123.37,6.18,6.53
Asyut,0,EG,1552521600,54,27.18,31.19,53.6,11.41
Souillac,92,FR,1552526469,81,45.6,-0.6,46.99,8.05
Carei,92,RO,1552526416,74,47.68,22.47,41.0,2.24
Lovozero,24,RU,1552526521,63,68.01,35.02,-0.35,2.62
Lander,90,US,1552526218,79,42.83,-108.73,30.0,13.87
Berlevag,24,NO,1552526236,100,70.86,29.09,17.12,18.84
Kamina,44,CD,1552526521,92,-8.74,25.0,66.39,3.06
Leningradskiy,12,RU,1552526040,80,69.38,178.42,-12.72,6.87
Kirakira,24,SB,1552526521,100,-10.46,161.92,83.13,5.3
Iqaluit,5,CA,1552525966,69,63.75,-68.52,-13.01,3.62
Kaitangata,68,NZ,1552526439,70,-46.28,169.85,55.99,7.0
Saint George,75,GR,1552526004,75,39.45,22.34,44.6,2.24
Savinesti,76,RO,1552526240,67,46.85,26.47,36.0,13.87
Haines Junction,80,CA,1552526522,79,60.75,-137.51,26.97,4.29
Pine Bluff,90,US,1552526128,93,34.23,-92.0,55.4,6.93
Victor Harbor,0,AU,1552526419,37,-35.55,138.62,73.99,11.41
Fortuna,0,ES,1552526484,76,38.18,-1.13,51.01,5.82
Pitimbu,0,BR,1552521600,88,-7.47,-34.81,80.6,5.82
Umm Lajj,20,SA,1552526523,94,25.02,37.27,71.07,12.57
San Patricio,92,PY,1552526523,91,-26.98,-56.83,71.57,2.06
Matara,64,PE,1552526523,73,-13.74,-72.9,49.83,1.83
Padang,20,ID,1552521600,88,-0.92,100.36,77.0,2.24
Helong,64,CN,1552526523,87,25.94,116.13,55.86,2.39
Kalikino,68,RU,1552526524,72,52.95,39.83,14.1,5.97
Pio XII,88,BR,1552526524,93,-3.89,-45.17,77.55,2.84
Beringovskiy,68,RU,1552526524,91,63.05,179.32,3.12,21.18
Namatanai,68,PG,1552526040,100,-3.66,152.44,81.51,10.0
Mahebourg,20,MU,1552526344,83,-20.41,57.7,75.2,6.93
Port Macquarie,40,AU,1552526045,69,-31.43,152.91,81.0,10.29
Kruisfontein,32,ZA,1552526040,86,-34.0,24.73,60.86,5.86
Belozerskoye,92,RU,1552526524,96,55.82,65.58,30.89,4.41
Kurikka,92,FI,1552526470,92,62.62,22.4,28.0,14.99
Lompoc,1,US,1552526404,26,34.64,-120.46,64.99,12.75
Camopi,64,GF,1552526525,96,3.17,-52.33,74.49,2.62
Port Augusta,0,AU,1552526265,43,-32.49,137.76,78.01,8.05
San Clemente,1,US,1552526524,62,33.43,-117.61,63.0,8.05
Opuwo,0,NA,1552526108,34,-18.06,13.84,58.29,4.74
Geraldton,90,CA,1552525200,93,49.72,-86.95,35.6,5.82
Porto Murtinho,68,BR,1552526526,93,-21.7,-57.88,75.75,6.08
Golden,75,CA,1552521600,35,51.3,-116.96,39.2,14.99
Batsfjord,8,NO,1552526526,100,70.63,29.72,23.06,26.78
Sechura,24,PE,1552526041,69,-5.56,-80.82,79.44,9.22
Puerto Baquerizo Moreno,0,EC,1552526586,100,-0.9,-89.6,77.69,7.65
Genhe,56,CN,1552526586,73,50.78,121.52,11.54,4.74
Nantucket,1,US,1552526552,69,41.28,-70.1,37.0,4.7
Dunedin,92,NZ,1552525743,63,-45.87,170.5,57.0,5.99
Abu Samrah,80,SY,1552526587,95,35.3,37.18,49.56,9.66
Severo-Kurilsk,92,RU,1552526587,95,50.68,156.12,30.89,20.96
Temiscaming,90,CA,1552525816,85,46.72,-79.1,32.0,9.17
Flin Flon,0,CA,1552526587,66,54.77,-101.88,32.28,5.75
Necochea,0,AR,1552526289,53,-38.55,-58.74,62.01,3.0
Saldanha,0,PT,1552526587,85,41.42,-6.55,32.1,3.96
Tromso,90,NO,1552524600,85,69.65,18.96,24.8,18.34
Seoul,0,KR,1552523400,32,37.57,126.98,41.0,8.05
Baruun-Urt,32,MN,1552526587,63,46.68,113.28,18.29,10.78
Moree,64,AU,1552526137,51,-29.46,149.84,86.0,16.11
La Ronge,5,CA,1552525200,55,55.1,-105.3,33.8,9.17
Paamiut,8,GL,1552526588,100,61.99,-49.67,22.11,22.53
Narsaq,48,GL,1552524600,73,60.91,-46.05,26.6,8.05
Thompson,40,CA,1552521600,55,55.74,-97.86,39.2,3.36
Gurupi,24,BR,1552526518,93,-11.73,-49.07,76.2,6.53
Severo-Yeniseyskiy,88,RU,1552526385,75,60.37,93.04,31.29,9.22
Ponta Delgada,75,PT,1552526550,71,37.73,-25.67,57.2,13.87
Imeni Poliny Osipenko,80,RU,1552526588,85,52.42,136.49,23.69,5.64
Ouesso,24,CG,1552526589,99,1.61,16.05,70.17,2.51
Caborca,92,MX,1552526055,56,30.58,-111.1,62.01,4.0
Labuhan,44,ID,1552526589,89,-2.54,115.51,74.72,2.84
Mazamari,24,PE,1552526589,94,-11.33,-74.53,68.82,1.72
Baoning,90,CN,1552521600,87,25.34,110.03,59.0,6.71
Lesnoy,88,RU,1552526589,81,59.78,52.13,25.35,5.41
Tezpur,8,IN,1552526589,86,26.62,92.79,56.94,3.18
Lazaro Cardenas,0,MX,1552526573,12,28.39,-105.62,68.0,20.74
Sioux Lookout,90,CA,1552525200,74,50.1,-91.92,37.4,2.24
Quzhou,92,CN,1552526590,98,28.97,118.86,50.28,3.51
Lorengau,76,PG,1552526590,100,-2.02,147.27,80.79,16.26
Puerto del Rosario,0,ES,1552525200,77,28.5,-13.86,64.4,17.22
Luau,76,CD,1552526590,95,-10.7,22.23,66.93,2.28
Xai-Xai,0,MZ,1552526590,100,-25.04,33.64,76.38,9.66
Skibbereen,75,IE,1552523400,93,51.55,-9.27,46.4,25.28
Sacramento,1,US,1552526418,30,38.58,-121.49,63.0,19.46
Amga,56,RU,1552526591,79,60.89,131.98,9.87,3.74
Coquimbo,75,CL,1552521600,82,-29.95,-71.34,60.8,8.05
Gryfino,90,PL,1552526353,86,53.25,14.49,43.0,14.99
Burnie,0,AU,1552526591,100,-41.05,145.91,59.55,7.09
Paita,20,PE,1552526592,62,-5.09,-81.11,81.33,7.76
Vysokogornyy,76,RU,1552526592,73,50.1,139.13,19.91,3.74
Cacu,20,BR,1552526592,89,-18.56,-51.13,73.05,2.84
Tahe,0,CN,1552526592,55,52.34,124.71,13.38,4.74
Victoria,75,BN,1552523400,83,5.28,115.24,80.6,2.28
Baker City,1,US,1552526246,48,44.77,-117.83,39.2,20.8
Varzea da Palma,8,BR,1552526653,69,-17.6,-44.73,77.51,2.17
Puqi,92,CN,1552526603,100,29.72,113.88,52.98,6.64
